,Nombre,Último,Máximo,Mínimo,Var.,% Var.,Vol.,Hora
442,First Republic Bank,"200,04","203,98","199,51","-0,88","-0,44%","1,08M",21:59:59
443,Genuine Parts,"122,00","124,31","121,92","-2,19","-1,76%","1,03M",21:59:59
444,Rockwell Automation,"311,55","315,04","310,41","-5,46","-1,72%","1,03M",21:59:59
445,Whirlpool,"210,63","213,19","208,63","-2,06","-0,97%","973,11K",21:59:59
446,IDEXX Labs,"661,71","664,80","655,10","-1,74","-0,26%","958,68K",21:59:59
447,Martin Marietta Materials,"342,73","354,92","340,87","-11,36","-3,21%","948,44K",21:59:59
448,Ralph Lauren A,"113,04","114,64","111,88","+0,41","+0,36%","938,44K",21:59:59
449,ResMed,"285,95","287,86","284,00","-0,23","-0,08%","914,70K",21:59:59
450,United Rentals,"341,46","349,13","337,98","-4,74","-1,37%","908,32K",21:59:59
451,Assurant,"161,44","164,04","160,70","-1,48","-0,91%","905,75K",21:59:59
452,JB Hunt,"168,72","171,54","167,67","-2,47","-1,44%","902,69K",21:59:59
453,Cboe Global,"123,61","123,90","121,16","-0,10","-0,08%","860,79K",21:59:59
454,Iqvia,"256,33","259,03","254,82","-1,52","-0,59%","855,14K",21:59:59
455,Snap-On,"213,60","216,29","212,40","-5,86","-2,67%","836,83K",21:59:59
456,O’Reilly Automotive,"599,34","607,30","597,60","-7,54","-1,24%","836,54K",21:59:59
457,Align,"719,38","730,61","715,00","-8,91","-1,22%","833,44K",21:59:59
458,SBA Communications,"352,70","355,67","350,03","-2,73","-0,77%","819,02K",21:59:59
459,Federal Realty,"119,30","121,47","118,85","-1,32","-1,09%","817,04K",21:59:59
460,Alliance Data Systems,"96,47","99,59","96,00","-2,53","-2,56%","813,23K",21:59:59
461,Jack Henry&Associates,"168,76","170,14","167,72","-2,05","-1,20%","784,20K",21:59:59
462,IPG Photonics,"166,57","171,72","165,33","-5,15","-3,00%","763,15K",21:59:59
463,Regeneron Pharma,"651,88","653,00","643,29","-1,30","-0,20%","755,13K",21:59:59
464,Transdigm,"609,94","612,87","597,27","+5,34","+0,88%","755,02K",21:59:59
465,Avery Dennison,"214,68","221,43","214,27","-6,75","-3,05%","741,76K",21:59:59
466,F5 Networks,"204,58","208,38","203,89","-3,83","-1,84%","730,44K",21:59:59
467,Broadridge,"166,56","169,40","166,33","-2,10","-1,25%","720,23K",21:59:59
468,Waters,"396,58","403,15","394,37","-3,15","-0,79%","708,00K",21:59:59
469,SVB,"610,41","623,00","605,00","+1,96","+0,32%","680,40K",21:59:59
470,Advance Auto Parts,"205,80","208,34","205,07","-1,89","-0,91%","666,97K",21:59:59
471,Roper Technologies,"466,65","471,67","465,92","-7,07","-1,49%","665,46K",21:59:59
472,Intuitive Surgical,"1.037,27","1.040,46","1.028,03","+3,26","+0,32%","631,90K",21:59:59
473,Ulta Beauty,"379,05","385,61","377,88","-3,27","-0,86%","627,40K",21:59:59
474,Affiliated Managers,"160,42","161,69","159,06","+0,70","+0,44%","588,86K",21:59:59
475,FleetCor,"258,24","260,99","257,21","-3,14","-1,20%","578,23K",21:59:59
476,MSCI,"641,66","651,40","638,59","-10,49","-1,61%","533,34K",21:59:59
477,Everest,"255,86","256,51","251,45","+3,54","+1,40%","516,54K",21:59:59
478,ANSYS,"364,63","374,88","362,54","-9,87","-2,64%","513,15K",21:59:59
479,WW Grainger,"402,48","407,08","402,01","-6,58","-1,61%","474,14K",21:59:59
480,Chipotle Mexican Grill,"1.909,02","1.937,73","1.898,85","-8,86","-0,46%","469,81K",21:59:59
481,Huntington Ingalls Industries,"194,99","196,14","193,54","-0,09","-0,05%","467,53K",21:59:59
482,Cooper,"436,60","441,72","435,39","-6,15","-1,39%","463,11K",21:59:59
483,Essex Property,"322,53","328,35","321,70","-5,18","-1,58%","460,13K",21:59:59
484,ABIOMED,"355,00","357,06","350,42","-2,87","-0,80%","389,59K",21:59:59
485,Booking,"2.325,4","2.365,2","2.320,0","-19,6","-0,84%","368,14K",21:59:59
486,MarketAxesss,"426,00","429,89","423,21","-1,62","-0,38%","315,65K",21:59:59
487,AutoZone,"1.592,88","1.619,81","1.592,58","-14,54","-0,90%","262,68K",21:59:59
488,Teleflex,"385,57","387,88","382,34","-0,40","-0,10%","251,21K",21:59:59
489,Mettler-Toledo,"1.545,18","1.559,20","1.541,98","-9,41","-0,61%","185,41K",21:59:59
